Time,Observation,Reward,Action
20180912-130004,"[0.         0.02052786 0.         0.03323558 0.         0.00391007
 0.         0.00391007 0.         0.01075269 0.         0.01368524
 0.         0.01270772 0.         0.0058651  0.         0.01857283
 0.         0.00684262 0.         0.0058651  0.         0.00879765
 0.         0.00488759 0.         0.01759531 0.         0.00391007
 0.         0.00097752 0.         0.00488759 0.         0.00684262
 0.         0.01173021 0.         0.00488759 0.         0.00097752
 0.         0.00391007 0.         0.0058651  0.         0.00782014
 0.         0.00391007 0.         0.01759531 0.         0.00684262
 0.         0.00782014 0.         0.01270772 0.         0.00488759
 0.         0.0058651  0.         0.00488759 0.         0.01173021
 0.         0.00293255 0.         0.01368524 0.         0.00391007
 0.         0.00195503 0.         0.01661779 0.         0.00782014
 0.         0.00195503 0.         0.00488759 0.         0.00391007
 0.         0.00684262 0.         0.00488759 0.         0.00488759
 0.         0.00293255 0.         0.01368524 0.         0.01270772]",0.09970674486803514,"[ 0.99998695 -0.51762605 -0.629533   -0.3249556   0.79830325  0.1627142
  0.8882004   0.19136241  0.21823795 -0.15157582  0.7648168   0.97476065
  0.23739189  0.42060497  0.6419771  -0.0836459   0.97553563]"
20180912-130012,"[0.         0.00391007 0.         0.01173021 0.         0.00684262
 0.         0.00391007 0.         0.00488759 0.         0.00684262
 0.         0.01857283 0.         0.00391007 0.         0.00293255
 0.         0.0058651  0.         0.00684262 0.         0.0058651
 0.         0.00488759 0.         0.01857283 0.         0.00684262
 0.         0.00391007 0.         0.01759531 0.         0.00684262
 0.         0.00684262 0.         0.0058651  0.         0.0058651
 0.         0.00195503 0.         0.0058651  0.         0.0058651
 0.         0.00293255 0.         0.03128055 0.         0.00879765
 0.         0.00488759 0.         0.02052786 0.         0.00782014
 0.         0.00879765 0.         0.0058651  0.         0.00195503
 0.         0.01466276 0.         0.0058651  0.         0.00488759
 0.         0.00293255 0.         0.02052786 0.         0.00782014
 0.         0.00293255 0.         0.00097752 0.         0.00488759
 0.         0.00488759 0.         0.01368524 0.         0.01368524
 0.         0.00782014 0.         0.00684262 0.         0.00488759]",0.09579667644183769,"[ 0.03882729 -0.33707657  0.5139111  -0.5459617  -0.14146708  0.13986401
  0.33682844  0.43041447  0.4720715   0.41015077 -0.21295075  0.27046502
 -0.12211466  0.8266714   0.8440803   0.1539529  -0.01841356]"
20180912-130014,"[0.         0.0058651  0.         0.03225806 0.         0.01075269
 0.         0.00488759 0.         0.00879765 0.         0.01955034
 0.         0.01173021 0.         0.01270772 0.         0.00488759
 0.         0.0058651  0.         0.0058651  0.         0.00977517
 0.         0.00391007 0.         0.03519062 0.         0.01368524
 0.         0.02346041 0.         0.01270772 0.         0.01075269
 0.         0.00684262 0.         0.00488759 0.         0.01466276
 0.         0.00782014 0.         0.00391007 0.         0.00782014
 0.         0.00195503 0.         0.02346041 0.         0.01075269
 0.         0.00684262 0.         0.00293255 0.         0.00977517
 0.         0.01466276 0.         0.00977517 0.         0.00782014
 0.         0.00782014 0.         0.00391007 0.         0.00293255
 0.         0.00097752 0.         0.02150538 0.         0.00097752
 0.         0.00684262 0.         0.00195503 0.         0.00684262
 0.         0.00391007 0.         0.00391007 0.         0.00391007
 0.         0.00195503 0.         0.00097752 0.         0.00293255]",0.10948191593352878,"[ 0.9575048   0.40769288  0.28578424  0.5405856  -0.43469673 -0.3253478
 -0.49287677 -0.6263335   0.02592717 -0.5585916  -0.8066222   0.9249481
 -0.37228137 -0.36834705  0.73002183 -0.6453129  -0.59783834]"
20180912-130017,"[0.         0.01955034 0.         0.02150538 0.         0.00684262
 0.         0.01368524 0.         0.00782014 0.         0.01075269
 0.         0.02932551 0.         0.01955034 0.         0.01857283
 0.         0.01368524 0.         0.00293255 0.         0.0058651
 0.         0.02150538 0.         0.03323558 0.         0.00684262
 0.         0.00488759 0.         0.00977517 0.         0.01075269
 0.         0.01173021 0.         0.00488759 0.         0.00684262
 0.         0.01075269 0.         0.01466276 0.         0.00782014
 0.         0.01075269 0.         0.01661779 0.         0.00488759
 0.         0.01759531 0.         0.02541544 0.         0.01173021
 0.         0.00782014 0.         0.00488759 0.         0.01368524
 0.         0.00391007 0.         0.00977517 0.         0.00488759
 0.         0.00097752 0.         0.01857283 0.         0.00391007
 0.         0.0058651  0.         0.0801564  0.         0.00488759
 0.         0.00879765 0.         0.00391007 0.         0.00195503
 0.         0.00879765 0.         0.0058651  0.         0.00195503]",0.14784946236559135,"[ 0.27621627 -0.81506974  0.3049189   0.51181495  0.697694    0.6846089
  0.85326505 -0.79936653  0.21909408 -0.03724086 -0.34910774  0.48427796
 -0.4891775  -0.13713612 -0.56658167  0.8072229   0.02019786]"
20180912-130019,"[0.         0.00488759 0.         0.01955034 0.         0.00391007
 0.         0.01661779 0.         0.12218964 0.         0.01270772
 0.         0.00879765 0.         0.00488759 0.         0.01564027
 0.         0.00879765 0.         0.01368524 0.         0.01955034
 0.         0.0058651  0.         0.01955034 0.         0.00684262
 0.         0.00391007 0.         0.13880743 0.         0.01173021
 0.         0.00879765 0.         0.0058651  0.         0.00195503
 0.         0.00488759 0.         0.01173021 0.         0.0058651
 0.         0.0058651  0.         0.03225806 0.         0.00879765
 0.         0.01661779 0.         0.14662757 0.         0.00782014
 0.         0.01564027 0.         0.0058651  0.         0.028348
 0.         0.00879765 0.         0.00879765 0.         0.03030303
 0.         0.00293255 0.         0.00684262 0.         0.00879765
 0.         0.         0.         0.13098729 0.         0.0058651
 0.         0.00195503 0.         0.00293255 0.         0.00097752
 0.         0.00293255 0.         0.00488759 0.         0.00879765]",0.2426686217008797,"[-0.08732737  0.75834215  0.5763979   0.7073181   0.22476253  0.62283516
  0.9161405  -0.16589582  0.9589218   0.95914394  0.14219491 -0.8404982
  0.9855007   0.467396    0.3376683  -0.82844335  0.5499065 ]"
20180912-130022,"[0.         0.00684262 0.         0.0342131  0.         0.0058651
 0.         0.         0.         0.12316716 0.         0.0058651
 0.         0.01270772 0.         0.00195503 0.         0.00293255
 0.         0.00195503 0.         0.00684262 0.         0.00488759
 0.         0.01759531 0.         0.0342131  0.         0.01075269
 0.         0.         0.         0.12707722 0.         0.00782014
 0.         0.01564027 0.         0.00879765 0.         0.00684262
 0.         0.00391007 0.         0.00684262 0.         0.00879765
 0.         0.02639296 0.         0.03323558 0.         0.01173021
 0.         0.01173021 0.         0.12609971 0.         0.00684262
 0.         0.01075269 0.         0.03323558 0.         0.02150538
 0.         0.00879765 0.         0.00684262 0.         0.0058651
 0.         0.00782014 0.         0.01173021 0.         0.01075269
 0.         0.00097752 0.         0.13294233 0.         0.0058651
 0.         0.01368524 0.         0.01173021 0.         0.00195503
 0.         0.00391007 0.         0.00488759 0.         0.00391007]",0.242179863147605,"[ 0.00794084  0.01857774 -0.0199538  -0.00402763 -0.01229415 -0.02358733
  0.01058093 -0.01337373 -0.00784913  0.0004871   0.01318152  0.00184437
 -0.01011802  0.01772292  0.00483427 -0.02366316  0.00107825]"
20180912-130024,"[0.         0.01075269 0.         0.01857283 0.         0.00879765
 0.         0.00782014 0.         0.00977517 0.         0.01075269
 0.         0.00684262 0.         0.00391007 0.         0.01564027
 0.         0.00879765 0.         0.00977517 0.         0.00782014
 0.         0.01075269 0.         0.02737048 0.         0.00879765
 0.         0.01368524 0.         0.01857283 0.         0.01173021
 0.         0.00879765 0.         0.01466276 0.         0.01466276
 0.         0.01270772 0.         0.01368524 0.         0.00391007
 0.         0.00488759 0.         0.00879765 0.         0.00097752
 0.         0.00097752 0.         0.00391007 0.         0.01173021
 0.         0.00488759 0.         0.00391007 0.         0.00097752
 0.         0.00097752 0.         0.00782014 0.         0.00391007
 0.         0.00684262 0.         0.01270772 0.         0.0058651
 0.         0.00097752 0.         0.00879765 0.         0.02737048
 0.         0.0058651  0.         0.0058651  0.         0.01661779
 0.         0.00097752 0.         0.00782014 0.         0.01368524]",0.11143695014662751,"[ 0.00306234  0.00101174 -0.0007068   0.00093651 -0.00173228 -0.00199234
  0.00156944 -0.00519128 -0.00557712  0.00047759 -0.00122286 -0.00096687
  0.00139278  0.00548991  0.00424007 -0.00498426 -0.00063333]"
20180912-130027,"[0.         0.00684262 0.         0.01955034 0.         0.00879765
 0.         0.00293255 0.         0.00684262 0.         0.00684262
 0.         0.00879765 0.         0.01759531 0.         0.00977517
 0.         0.0058651  0.         0.01466276 0.         0.00977517
 0.         0.00488759 0.         0.03323558 0.         0.00782014
 0.         0.         0.         0.00782014 0.         0.00782014
 0.         0.01955034 0.         0.01661779 0.         0.00293255
 0.         0.01075269 0.         0.01173021 0.         0.00391007
 0.         0.01955034 0.         0.01955034 0.         0.00782014
 0.         0.00488759 0.         0.00488759 0.         0.00879765
 0.         0.00977517 0.         0.01661779 0.         0.0058651
 0.         0.00391007 0.         0.01075269 0.         0.00879765
 0.         0.00879765 0.         0.01466276 0.         0.00879765
 0.         0.00195503 0.         0.00488759 0.         0.00684262
 0.         0.01368524 0.         0.00488759 0.         0.01564027
 0.         0.01955034 0.         0.00293255 0.         0.00391007]",0.11827956989247305,"[ 1.6290679e-03  2.3613647e-03 -2.8407620e-04  1.9373659e-03
  6.5370108e-07 -9.3506312e-04  2.3980886e-03 -3.9282050e-03
 -6.0835439e-03 -4.5997553e-05 -6.8923819e-04  8.7595650e-04
  2.3898955e-03  4.9884468e-03  7.8735349e-04 -4.1757303e-04
  8.5218961e-04]"
20180912-130029,"[0.         0.00684262 0.         0.01466276 0.         0.00782014
 0.         0.0058651  0.         0.0058651  0.         0.00782014
 0.         0.00879765 0.         0.0058651  0.         0.00195503
 0.         0.01270772 0.         0.00488759 0.         0.0058651
 0.         0.00195503 0.         0.01173021 0.         0.00782014
 0.         0.00097752 0.         0.00293255 0.         0.00195503
 0.         0.00782014 0.         0.00195503 0.         0.00097752
 0.         0.00097752 0.         0.00391007 0.         0.00097752
 0.         0.00684262 0.         0.03323558 0.         0.00782014
 0.         0.00782014 0.         0.00684262 0.         0.01270772
 0.         0.00782014 0.         0.00782014 0.         0.00097752
 0.         0.0058651  0.         0.0058651  0.         0.01075269
 0.         0.00293255 0.         0.00977517 0.         0.00391007
 0.         0.01075269 0.         0.00097752 0.         0.01466276
 0.         0.0058651  0.         0.01564027 0.         0.00195503
 0.         0.00391007 0.         0.00879765 0.         0.0058651 ]",0.08308895405669595,"[ 0.8156257  -0.95783746  0.24705106 -0.29946446  0.2986812   0.93888915
  0.0455158  -0.7772406   0.5624418   0.9953367  -0.37488195 -0.38911495
  0.5446243  -0.25766367 -0.22757468 -0.71019155 -0.9479124 ]"
20180912-130031,"[0.         0.00684262 0.         0.01075269 0.         0.00977517
 0.         0.01661779 0.         0.0058651  0.         0.01466276
 0.         0.00879765 0.         0.0058651  0.         0.00293255
 0.         0.01173021 0.         0.00879765 0.         0.0058651
 0.         0.00684262 0.         0.00782014 0.         0.00879765
 0.         0.02346041 0.         0.00782014 0.         0.01759531
 0.         0.01466276 0.         0.01857283 0.         0.00097752
 0.         0.01173021 0.         0.01270772 0.         0.00782014
 0.         0.00977517 0.         0.01857283 0.         0.00488759
 0.         0.00782014 0.         0.00391007 0.         0.00684262
 0.         0.01466276 0.         0.02248289 0.         0.00195503
 0.         0.00488759 0.         0.0058651  0.         0.00488759
 0.         0.00488759 0.         0.01466276 0.         0.00879765
 0.         0.00195503 0.         0.00977517 0.         0.0058651
 0.         0.00293255 0.         0.00488759 0.         0.00097752
 0.         0.00488759 0.         0.00391007 0.         0.00391007]",0.105327468230694,"[ 7.4829039e-04  2.3729012e-03 -2.5388468e-03 -1.3312664e-04
 -1.8904719e-03 -3.2141819e-03  2.3902573e-03 -1.4842330e-03
 -3.8304697e-03 -1.2313017e-03  1.0002178e-05 -1.4831002e-03
 -6.3364144e-04  3.6487638e-03  4.3160780e-03 -4.7670784e-03
 -6.7225029e-04]"
