Time,Observation,Reward,Action
20180912-140004,"[0.         0.01564027 0.         0.02932551 0.         0.01661779
 0.         0.00391007 0.         0.00879765 0.         0.00977517
 0.         0.00488759 0.         0.01661779 0.         0.01857283
 0.         0.00293255 0.         0.01857283 0.         0.0058651
 0.         0.01857283 0.         0.02052786 0.         0.01466276
 0.         0.         0.         0.01564027 0.         0.01173021
 0.         0.00684262 0.         0.00293255 0.         0.02052786
 0.         0.         0.         0.00977517 0.         0.01173021
 0.         0.01857283 0.         0.00391007 0.         0.01075269
 0.         0.         0.         0.01564027 0.         0.01173021
 0.         0.00684262 0.         0.00293255 0.         0.00782014
 0.         0.         0.         0.0058651  0.         0.00097752
 0.         0.01857283 0.         0.00391007 0.         0.01075269
 0.         0.         0.         0.01564027 0.         0.01173021
 0.         0.00684262 0.         0.00488759 0.         0.00782014
 0.         0.         0.         0.0058651  0.         0.00097752]",0.11412512218963827,[]
20180912-140006,"[0.         0.01173021 0.         0.01270772 0.         0.00097752
 0.         0.         0.         0.01270772 0.         0.00195503
 0.         0.00879765 0.         0.0058651  0.         0.00488759
 0.         0.         0.         0.01173021 0.         0.00391007
 0.         0.01173021 0.         0.03128055 0.         0.00391007
 0.         0.00195503 0.         0.01270772 0.         0.00293255
 0.         0.0058651  0.         0.0058651  0.         0.00684262
 0.         0.0058651  0.         0.01173021 0.         0.00879765
 0.         0.00488759 0.         0.03128055 0.         0.0058651
 0.         0.00684262 0.         0.01564027 0.         0.01661779
 0.         0.01466276 0.         0.01173021 0.         0.00195503
 0.         0.00684262 0.         0.01270772 0.         0.0058651
 0.         0.00488759 0.         0.01466276 0.         0.0058651
 0.         0.00195503 0.         0.00879765 0.         0.00391007
 0.         0.00488759 0.         0.00293255 0.         0.00097752
 0.         0.         0.         0.01270772 0.         0.00097752]",0.09555229716520035,[]
20180912-140010,"[0.         0.00488759 0.         0.01466276 0.         0.0058651
 0.         0.00195503 0.         0.00879765 0.         0.0058651
 0.         0.00488759 0.         0.01661779 0.         0.00195503
 0.         0.00488759 0.         0.01270772 0.         0.00097752
 0.         0.0058651  0.         0.03128055 0.         0.00684262
 0.         0.01368524 0.         0.01564027 0.         0.02346041
 0.         0.00977517 0.         0.00782014 0.         0.01564027
 0.         0.00488759 0.         0.00684262 0.         0.01368524
 0.         0.00097752 0.         0.01173021 0.         0.00097752
 0.         0.00391007 0.         0.00195503 0.         0.00293255
 0.         0.00293255 0.         0.00195503 0.         0.01564027
 0.         0.00391007 0.         0.00488759 0.         0.00391007
 0.         0.00488759 0.         0.01564027 0.         0.00488759
 0.         0.00488759 0.         0.00684262 0.         0.0058651
 0.         0.00782014 0.         0.00293255 0.         0.00097752
 0.         0.0058651  0.         0.00684262 0.         0.00684262]",0.09237536656891492,[]
20180912-140012,"[0.         0.00391007 0.         0.03519062 0.         0.00684262
 0.         0.01955034 0.         0.01270772 0.         0.00782014
 0.         0.01661779 0.         0.00977517 0.         0.01466276
 0.         0.0058651  0.         0.00684262 0.         0.00684262
 0.         0.00097752 0.         0.02150538 0.         0.00097752
 0.         0.01955034 0.         0.00391007 0.         0.00391007
 0.         0.00488759 0.         0.00391007 0.         0.01466276
 0.         0.00782014 0.         0.00684262 0.         0.00684262
 0.         0.00391007 0.         0.01661779 0.         0.00977517
 0.         0.01955034 0.         0.00488759 0.         0.00782014
 0.         0.0058651  0.         0.02346041 0.         0.00293255
 0.         0.01857283 0.         0.01857283 0.         0.00879765
 0.         0.00293255 0.         0.01368524 0.         0.00391007
 0.         0.00293255 0.         0.00293255 0.         0.00782014
 0.         0.0058651  0.         0.00488759 0.         0.00293255
 0.         0.00195503 0.         0.00977517 0.         0.00879765]",0.11290322580645155,[]
20180912-140015,"[0.         0.00391007 0.         0.01368524 0.         0.00977517
 0.         0.00879765 0.         0.01173021 0.         0.00782014
 0.         0.0058651  0.         0.00879765 0.         0.00391007
 0.         0.00782014 0.         0.00977517 0.         0.00879765
 0.         0.0058651  0.         0.02639296 0.         0.00977517
 0.         0.00488759 0.         0.01270772 0.         0.01270772
 0.         0.00684262 0.         0.00782014 0.         0.01466276
 0.         0.00195503 0.         0.01466276 0.         0.00293255
 0.         0.00293255 0.         0.02346041 0.         0.00977517
 0.         0.01368524 0.         0.00684262 0.         0.01368524
 0.         0.02052786 0.         0.00684262 0.         0.00293255
 0.         0.01368524 0.         0.0058651  0.         0.01270772
 0.         0.00293255 0.         0.01270772 0.         0.00879765
 0.         0.00977517 0.         0.00488759 0.         0.00293255
 0.         0.00684262 0.         0.00977517 0.         0.00097752
 0.         0.00391007 0.         0.00293255 0.         0.00488759]",0.1065493646138807,[]
20180912-140019,"[0.         0.00097752 0.         0.02150538 0.         0.01173021
 0.         0.01075269 0.         0.01857283 0.         0.00195503
 0.         0.00488759 0.         0.0058651  0.         0.00195503
 0.         0.00391007 0.         0.00293255 0.         0.00684262
 0.         0.00097752 0.         0.02346041 0.         0.00879765
 0.         0.01075269 0.         0.00684262 0.         0.00684262
 0.         0.01270772 0.         0.00879765 0.         0.00195503
 0.         0.00488759 0.         0.00684262 0.         0.01368524
 0.         0.00097752 0.         0.00684262 0.         0.00684262
 0.         0.         0.         0.00293255 0.         0.0058651
 0.         0.01270772 0.         0.00488759 0.         0.00195503
 0.         0.         0.         0.0058651  0.         0.01368524
 0.         0.00097752 0.         0.01173021 0.         0.00684262
 0.         0.         0.         0.02346041 0.         0.0058651
 0.         0.01270772 0.         0.00488759 0.         0.00195503
 0.         0.00097752 0.         0.0058651  0.         0.01368524]",0.08748778103616808,[]
20180912-140023,"[0.         0.01075269 0.         0.01955034 0.         0.01368524
 0.         0.00097752 0.         0.00977517 0.         0.00879765
 0.         0.00782014 0.         0.01564027 0.         0.00782014
 0.         0.00782014 0.         0.01270772 0.         0.00293255
 0.         0.0058651  0.         0.01955034 0.         0.0058651
 0.         0.         0.         0.00977517 0.         0.00879765
 0.         0.00684262 0.         0.00097752 0.         0.00097752
 0.         0.00293255 0.         0.01270772 0.         0.00097752
 0.         0.01564027 0.         0.01955034 0.         0.00684262
 0.         0.00488759 0.         0.00977517 0.         0.00879765
 0.         0.00684262 0.         0.00488759 0.         0.01759531
 0.         0.01466276 0.         0.0058651  0.         0.02541544
 0.         0.00097752 0.         0.01173021 0.         0.00293255
 0.         0.00391007 0.         0.00782014 0.         0.00488759
 0.         0.00293255 0.         0.0058651  0.         0.00488759
 0.         0.00097752 0.         0.00293255 0.         0.00195503]",0.09652981427174971,[]
20180912-140026,"[0.         0.00097752 0.         0.01173021 0.         0.00391007
 0.         0.00391007 0.         0.00782014 0.         0.01661779
 0.         0.00293255 0.         0.0058651  0.         0.00488759
 0.         0.00391007 0.         0.00293255 0.         0.00195503
 0.         0.01955034 0.         0.03812317 0.         0.0058651
 0.         0.00293255 0.         0.00684262 0.         0.01661779
 0.         0.00391007 0.         0.01955034 0.         0.00097752
 0.         0.00488759 0.         0.01270772 0.         0.01173021
 0.         0.00293255 0.         0.03812317 0.         0.00391007
 0.         0.00684262 0.         0.00684262 0.         0.0058651
 0.         0.00391007 0.         0.00782014 0.         0.00097752
 0.         0.00488759 0.         0.0058651  0.         0.0058651
 0.         0.00782014 0.         0.01368524 0.         0.00195503
 0.         0.00488759 0.         0.01173021 0.         0.0058651
 0.         0.0058651  0.         0.00488759 0.         0.01270772
 0.         0.00097752 0.         0.00684262 0.         0.00488759]",0.09677419354838705,[]
20180912-140029,"[0.         0.00488759 0.         0.01075269 0.         0.00782014
 0.         0.01564027 0.         0.01075269 0.         0.00782014
 0.         0.00782014 0.         0.0058651  0.         0.00488759
 0.         0.00195503 0.         0.00391007 0.         0.01075269
 0.         0.00488759 0.         0.03030303 0.         0.00391007
 0.         0.01564027 0.         0.01075269 0.         0.00782014
 0.         0.0058651  0.         0.01173021 0.         0.00097752
 0.         0.0058651  0.         0.00391007 0.         0.01075269
 0.         0.00097752 0.         0.03030303 0.         0.
 0.         0.00488759 0.         0.0058651  0.         0.00488759
 0.         0.0058651  0.         0.00195503 0.         0.01173021
 0.         0.0058651  0.         0.00391007 0.         0.00391007
 0.         0.00097752 0.         0.03030303 0.         0.
 0.         0.00488759 0.         0.0058651  0.         0.00488759
 0.         0.0058651  0.         0.00195503 0.         0.01173021
 0.         0.0058651  0.         0.00391007 0.         0.00391007]",0.09139784946236557,[]
20180912-140032,"[0.         0.00684262 0.         0.03519062 0.         0.00684262
 0.         0.01466276 0.         0.01368524 0.         0.0058651
 0.         0.01661779 0.         0.0058651  0.         0.01270772
 0.         0.00684262 0.         0.00782014 0.         0.00684262
 0.         0.00391007 0.         0.01173021 0.         0.00195503
 0.         0.00293255 0.         0.01075269 0.         0.00488759
 0.         0.00488759 0.         0.00195503 0.         0.00195503
 0.         0.00195503 0.         0.00782014 0.         0.00684262
 0.         0.00391007 0.         0.01173021 0.         0.00195503
 0.         0.00293255 0.         0.01075269 0.         0.00488759
 0.         0.00488759 0.         0.00293255 0.         0.00195503
 0.         0.00195503 0.         0.00782014 0.         0.00684262
 0.         0.00097752 0.         0.0058651  0.         0.00391007
 0.         0.00293255 0.         0.00097752 0.         0.00488759
 0.         0.00293255 0.         0.00293255 0.         0.00293255
 0.         0.00195503 0.         0.01759531 0.         0.00293255]",0.07869012707722381,[]
